batsman,Bangalore,Chennai,Delhi,Hyderabad,Jaipur,Kochi,Kolkata,Mohali,Mumbai,Pune,Rajkot
VH Zol,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,4.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
VRV Singh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VS Malik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
VS Yeligati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VVS Laxman,0.0,2.0,0.0,12.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0
VY Mahesh,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Vishnu Vinod,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W Jaffer,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
WA Mota,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0
WD Parnell,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,4.0,0.0
WP Saha,7.0,9.0,2.0,7.0,3.0,1.0,18.0,22.0,4.0,2.0,3.0
WPUJC Vaas,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington Sundar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
X Thalaivan Sargunam,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y Gnaneswara Rao,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Y Nagar,2.0,2.0,7.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0
Y Venugopal Rao,3.0,6.0,14.0,17.0,2.0,0.0,2.0,4.0,3.0,1.0,0.0
YA Abdulla,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YK Pathan,10.0,7.0,16.0,10.0,26.0,1.0,35.0,11.0,12.0,3.0,2.0
YS Chahal,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
YV Takawale,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0
Yashpal Singh,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
Younis Khan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Yuvraj Singh,17.0,7.0,14.0,17.0,6.0,0.0,11.0,22.0,10.0,11.0,1.0
Z Khan,7.0,3.0,5.0,2.0,1.0,0.0,2.0,1.0,6.0,0.0,0.0
