batsman,Bangalore,Chennai,Delhi,Hyderabad,Jaipur,Kochi,Kolkata,Mohali,Mumbai,Pune,Rajkot
R Sathish,24.0,8.0,28.0,33.0,11.0,0.0,21.0,67.0,78.0,0.0,0.0
R Sharma,0.0,1.0,0.0,14.0,10.0,0.0,0.0,2.0,18.0,21.0,0.0
R Shukla,2.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Tewatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0
R Vinay Kumar,94.0,11.0,33.0,37.0,12.0,5.0,29.0,1.0,69.0,13.0,0.0
RA Jadeja,66.0,355.0,210.0,73.0,328.0,88.0,73.0,108.0,108.0,104.0,219.0
RA Tripathi,37.0,0.0,0.0,59.0,0.0,0.0,0.0,28.0,0.0,234.0,33.0
RD Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
RE Levi,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,54.0,0.0,0.0
RE van der Merwe,28.0,3.0,20.0,32.0,15.0,0.0,10.0,43.0,8.0,0.0,0.0
RG More,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
RG Sharma,217.0,224.0,298.0,848.0,282.0,0.0,238.0,206.0,1597.0,252.0,45.0
RJ Harris,4.0,16.0,15.0,32.0,1.0,0.0,0.0,32.0,13.0,4.0,0.0
RJ Peterson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0
RJ Quiney,0.0,0.0,10.0,0.0,86.0,0.0,0.0,7.0,0.0,0.0,0.0
RN ten Doeschate,3.0,38.0,22.0,9.0,0.0,0.0,138.0,28.0,88.0,0.0,0.0
RP Singh,0.0,13.0,2.0,26.0,4.0,1.0,0.0,0.0,6.0,0.0,0.0
RR Bhatkal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Pant,0.0,0.0,272.0,71.0,0.0,0.0,6.0,4.0,23.0,67.0,121.0
RR Powar,8.0,28.0,3.0,0.0,6.0,0.0,3.0,19.0,0.0,0.0,0.0
RR Raje,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
RR Rossouw,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Sarwan,0.0,20.0,0.0,15.0,0.0,0.0,0.0,31.0,7.0,0.0,0.0
RS Bopara,203.0,0.0,78.0,143.0,40.0,0.0,15.0,52.0,0.0,0.0,0.0
RS Gavaskar,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS Sodhi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
RT Ponting,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,57.0,14.0,0.0
