batsman,Bangalore,Chennai,Delhi,Hyderabad,Jaipur,Kochi,Kolkata,Mohali,Mumbai,Pune,Rajkot
Mohammad Asif,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Hafeez,0.0,0.0,0.0,100.0,50.0,0.0,88.88888888888889,0.0,38.88888888888889,0.0,0.0
Mohammad Nabi,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,100.0,0.0,122.22222222222223,0.0,50.0,0.0,0.0,50.0,0.0,50.0,200.0
N Rana,74.07407407407408,0.0,88.88888888888889,0.0,0.0,0.0,0.0,128.57142857142858,137.67123287671234,97.36842105263158,124.13793103448276
N Saini,116.66666666666667,0.0,100.0,33.33333333333333,0.0,0.0,0.0,100.0,120.0,0.0,0.0
ND Doshi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJ Maddinson,106.66666666666667,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJ Rimmington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
NL McCullum,0.0,93.75,0.0,0.0,157.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0
NLTC Perera,176.0,176.9230769230769,126.66666666666666,124.29906542056075,116.66666666666667,25.0,141.1764705882353,100.0,35.294117647058826,132.6530612244898,150.0
NM Coulter-Nile,0.0,0.0,81.25,0.0,0.0,0.0,100.0,150.0,150.0,120.0,0.0
NS Naik,0.0,0.0,0.0,73.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0
NV Ojha,115.90909090909092,117.54385964912282,107.25806451612902,123.37164750957854,123.4536082474227,0.0,100.69444444444444,119.54022988505749,93.67088607594937,87.5,125.0
Niraj Patel,21.052631578947366,0.0,200.0,0.0,48.484848484848484,0.0,0.0,142.5,133.33333333333331,0.0,0.0
OA Shah,217.85714285714283,116.3265306122449,0.0,107.5,126.95035460992908,100.0,88.13559322033898,168.1818181818182,134.7826086956522,0.0,0.0
P Awana,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Dogra,0.0,0.0,80.0,62.5,113.04347826086956,0.0,63.63636363636363,58.82352941176471,0.0,0.0,0.0
P Kumar,112.90322580645163,140.0,100.0,103.77358490566037,140.0,0.0,92.3076923076923,113.41463414634146,60.86956521739131,57.14285714285714,81.81818181818183
P Negi,100.0,146.0,103.40909090909092,0.0,0.0,0.0,181.25,400.0,131.0344827586207,120.0,152.17391304347828
P Parameswaran,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,0.0,0.0,0.0,0.0,0.0,0.0,100.0,150.0,0.0,0.0,0.0
